"oid","fk_books","fk_langs"
84754045,13914,"fr"
84754046,13915,"tl"
84754048,13917,"fr"
84754050,13919,"fi"
84754051,13920,"fi"
84754052,13921,"de"
84754070,13938,"fr"
84754079,13947,"fr"
84754080,13948,"fr"
84754081,13949,"fr"
84754082,13950,"fr"
84754083,13951,"fr"
84754084,13952,"fr"
84754085,13953,"de"
84754092,13959,"nl"
84754098,13965,"fr"
84754108,13975,"fi"
84754109,13976,"fi"
84754114,13981,"fr"
84754124,13991,"fi"
84754132,13999,"nl"
84754160,14027,"nl"
84754162,14028,"de"
84754164,14030,"fr"
84754169,14035,"fi"
84754172,14038,"fr"
84754176,14042,"nl"
84754177,14043,"nl"
84754184,14050,"sv"
84754193,14059,"fr"
84754197,14063,"nl"
84754203,14069,"fr"
84754205,14071,"fr"
84754207,14073,"sv"
84754209,14075,"de"
84754216,14082,"fr"
84754223,14088,"nl"
84754240,14105,"de"
84754246,14112,"nl"
84754247,14113,"fr"
84754326,14115,"fr"
84754253,14121,"nl"
84754257,14125,"fi"
